,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
104,"Sony Outdoor Activity Style Sports Lightweight Neckband Earbuds Bluetooth Wireless In-Ear Earbud Headphone with Built-In Microphone, Black (New Open Box)",,3.0,4 ratings,$34.95 ,,wireless,in ear,,mic,0,0,lightweight,,,,,,,,,In-Ear,Y,SmartPhones,In-EarHeadphones,Bluetooth
105,Pillow Ear Pads Cushion For Sony MDR-RF985R RF985R Headphone Replacement Earpads,,3.7,47 ratings,$7.97 ,,0,,,0,0,0,,,,,,,,,,,N,sony_mdr-rf985r,Over-EarHeadphones,None
106,"Bluetooth Headset, Car Wireless Bluetooth Earpiece, In-Ear Bluetooth Earbuds with Noise Cancellation Mic, Hands-Free Earphones for iPhone and Android, for Driving/Business/Office, I6174",,3.9,34 ratings,$19.99 ,,wireless,in ear,,mic,noise cancellation,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
107,(Refurbished) Beats PowerBeats3 Wireless In-Ear Headphons -Black,,5.0,6 ratings,$54.99 ,,wireless,,,mic,0,water resist,,,,,,,,,,,,,,
108,TWS Wireless Bluetooth 5.0 Headset Duo Earbuds Earphone with Charging Case Universal Compatible for iPhone Android Smartphones,,2.5,163 ratings,$19.98 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
109,"elago AirPods Ear Hook Designed for Apple Airpods 1 & 2 [ White ] - AirPods EarHook hold your AirPods securely. Great for running, jogging and other fitness activities!",,3.2,11 ratings,$9.88 ,,0,,,0,0,0,,,,,,,,,,,N,AirPods,In-EarHeadphones,None
110,"StealthBeats Bluetooth Wireless Headphones with Microphone [INVISIBLE EARPHONES] Running Earbuds with Dock Charger - Noise Cancelling, Mic and BASS Sound for iPhone & Android [TALK WALK & MORE]",,4.6,156 ratings,$39.99 ,,wireless,,,0,0,0,,,,,,,,,,,Y,ForIphone,In-EarHeadphones,ForAndroid
111,"True Wireless Earbuds, TSV Bluetooth 5.0 Headphones with Charging Case, HiFi Stereo Deep Bass Sound Bluetooth Earphones in Ear, 12H Playtime, Noise Cancelling Headset Built in Mic for Sports Running",,3.5,2 ratings,$36.97 ,,wireless,,,mic,noise reductionrf,0,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
112,"2-Pack FREEDOMTECH Earphones in Ear Headphones Earbuds with Microphone and Volume Control for iPhone, iPod, iPad, Samsung Galaxy, Xaiomi and Android Smartphone Tablet Laptop, 3.5mm Audio Plug Devices",,1.7,3 ratings,$8.99 ,,0,in ear,,mic,noise canceling,0,,,,,,,,,,In-Ear,N,Universal,In-EarHeadphones,None
113,"Walker's Razor Slim Shooter Comm Quad Electronic Muff w/ Bluetooth, Black - GWP-RSEQM-BT",Walmart #  570421167,5.0,4 ratings,$68.59 ,,wireless,,,mic,0,0,,,,,,,,,,,Y,,WirelessHeadphones,
114,Tascam TH-02 Closed Back Studio Headphones Black,Walmart #  571562792,4.4,17 ratings,$29.00 ,,0,,,0,0,0,,,,,,,,,DJ,,N,,On-Ear&Over-Ear,None
115,"Pokemon Pikachu Kids Volume Limiting Headphones, Hassle Free Packaging",,4.2,5 ratings,$19.99 ,,0,over ear,,0,0,0,,,,,,,,,,,,,,
116,"Trolls World Tour DJ Trollex Kids Headphones, Glow in The Dark, Volume Limiting",,4.6,5 ratings,$19.99 ,,0,over ear,,0,0,0,,,,,,,,,,Over-Ear,,SmartPhones,On-Ear&Over-Ear,Bluetooth
117,Insten In-Ear Headphone Earbuds Earphones 3.5mm for MP3 MP4 Music Player Apple iPod Nano Classic Touch iPhone 6S 6 Plus 6+ Samsung Galaxy S7 S8 S9 S10 S10e Plus Edge iPad Mini 5 iPad Air 2019,,3.4,16 ratings,$4.99 ,,0,in ear,,0,0,0,,,,,,,,,,,N,CellPhones,In-EarHeadphones,None
118,190561 - EC150 Ear-Clip Headphones,Walmart #  000543736,3.9,85 ratings,$7.31 ,,0,,,0,0,0,,,,,,,,,Portableaudiosystem,,Wired,,On-Ear&Over-Ear,portableelectronics
119,New OEM Samsung 3.5mm PREMIUM SOUND/ Stereo Earbud Headphones for Galaxy S6 S6 Edge S5 S4 Note Edge 4 3 2 EO-EG900BW (Bulk Packaging),,4.7,6 ratings,$7.49 ,,0,,,mic,noise cancellation,0,,,,,,,,,,In-Ear,,SamsungGalaxyS3;SamsungGalaxyS4;SamsungGalaxyS4Active;SamsungGalaxyS5;SamsungGalaxyS5Active;SamsungGalaxyS6;SamsungGalaxyS6Edge;SamsungGalaxyS6Edge+;SamsungGalaxyS7;SamsungGalaxyS7Edge;SamsungGalaxyS8;SamsungGalaxyS8+;SamsungGalaxyS8Active;SamsungGalaxyS9;SamsungGalaxyS9+;SamsungGalaxyS10;SamsungGalaxyS10+;SamsungGalaxyS10e;SamsungGalaxyNote3;SamsungGalaxyNote4;SamsungGalaxyNote5;SamsungGalaxyNote7;SamsungGalaxyNote8;SamsungGalaxyNote9;SamsungGalaxyNote10;SamsungGalaxyNote10+;SamsungGalaxyNote105G,,
120,TSV Replacement Ear Pads Cushion for boses QuietComfort QC15 QC25 QC35 Headphones,,4.0,8 ratings,$9.97 ,,0,,,0,0,0,,,,,,,,,,,,,,
121,"Mpow H7 Bluetooth Headphones Over Ear, Stereo Wireless Headset with Microphone & Comfortable Memory-Protein Earpads & 18 Hours Playtime & Wired and Wireless Headphones for Cellphone/Tablet Black",,4.5,21 ratings,$29.99 ,,wireless,in ear,,mic,0,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,Bluetooth
122,LG HBS830BLACK TONE Ultra Alpha Wireless In-Ear Headphones,,3.7,65 ratings,$69.95 ,,wireless,in ear,,mic,0,0,lightweight,,,,,,,,Portableelectronics,,Y,,In-EarHeadphones,Bluetooth
123,REFURBISHED Beats by Dr. Dre Studio 2.0 Wireless Over-the-Ear Headphones- Black,,4.3,16 ratings,$125.00 ,,wireless,,,0,0,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,Bluetooth
124,J3 TV920 Listener Rechargeable Wireless Infrared Headphones for TV Listening System | Cordless Over Ear Headphone NEW,,3.4,5 ratings,$39.95 ,,wireless,over ear,,0,noise canceling,0,,,,,,,,,,,,,,
125,Skullcandy Ink'd Plus Bluetooth Wireless In Ear Earbuds with Microphone (Cobalt Blue),Walmart #  575532596,3.6,130 ratings,$38.97 ,,wireless,,,mic,noise isolating,0,lightweight,,,,,,,,Portableelectronics,In-Ear,Y,,In-EarHeadphones,Bluetooth
126,"Red Stereo Gaming Headset for PS4, PC, Xbox One Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs for Laptop Mac Nintendo Switch Games",,4.7,3 ratings,$24.99 ,,0,on ear,,mic,noise isolating,0,,,,,,,,,,Over-Ear,Y,LaptopComputers,Over-EarHeadphones,Bluetooth
127,"Bluetooth Headphones, EEEKit Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Aux Microphone and Volume Control Compatible with iPhone/iPad/Android/Laptop/PC",,1.0,1 ratings,$22.97 ,,wireless,on ear,,mic,0,0,,,,,,,,,,,,,,
128,SONY MDR-XB950B1/L Blue Wireless Extra BassTM Headphones,Walmart #  564740255,3.6,289 ratings,$178.00 ,,wireless,,,mic,0,0,,,,,,,,,Portableelectronics,,Y,ipad;Tablet,On-Ear&Over-Ear,computers
129,JBL JR 300BT Kids On-Ear Wireless Headphones with Safe Sound Technology (Pink),,4.3,270 ratings,$44.95 ,,wireless,on ear,,0,0,0,,,,,,,,,,,Wireless,,WirelessHeadphones,Bluetooth
130,Thore iPhone Earphones (V60) Wired In Ear Lightning Earbuds (Apple MFi Certified) Headphones with Microphone/Remote for iPhone 11/Pro Max/Xr/Xs Max/X/8/7 - Red,,4.7,7 ratings,$24.99 ,,0,,,mic,noise isolating,0,,,,,,,,,,In-Ear,,iPhone11;iPhone11ProMax;iPhone11Pro;iPhoneX;iPhoneXs;iPhoneXsMax;,,
131,"Sony Fashion Earbud Headphones, MDREX15LP/W",Walmart #  552206665,3.0,127 ratings,$7.90 ,,0,,,0,0,0,,,,,,,,,1,,N,1,In-EarHeadphones,None
132,Koss UR10 On-Ear Headphones,Walmart #  567217434,4.5,14 ratings,$10.49 ,,0,on ear,,0,0,0,lightweight,,,,,,,,Portableelectronics,,N,,On-Ear&Over-Ear,None
133,LG TONE Style HBS-SL5 Bluetooth Wireless Stereo Headset,Walmart #  579023222,3.9,144 ratings,$96.99 ,,wireless,,,mic,0,0,lightweight,,,,,,,,Portableelectronics,,Wireless,iPhone;iPad;Galaxy;Laptop;Desktop,Earbuds,Bluetooth
134,"Replacement Earbuds Ear Tips for Powerbeats 2, Symphonized, Panasonic, iFrogz, Mpow, Sony, LG, Skullcandy in-Ear Headphones, 8 Pairs, 4 Different Sizes - Small, Medium, Large and Double Flange",,3.5,4 ratings,$5.99 ,,0,in ear,,0,0,0,,,,,,,,,,,N,,In-EarHeadphones,
135,AGPTEK Headphones with Dual Mic 3.5MM Wired Earbuds In-Ear Gaming Earphones for PS4 Xbox PC Laptop Phone,,3.9,27 ratings,$15.99 ,,0,in ear,,mic,noise cancelling,0,,,,,,,,,,,N,,In-EarHeadphones,None
136,Philips SHP9500 - Headphones - full size - wired - 3.5 mm jack - black,,4.6,16 ratings,$79.99 ,,0,over ear,,mic,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
137,"CozyPhones Kids Headphones Volume Limited with Ultra-Thin Speakers & Super Soft Fleece Headband - Perfect Toddlers & Children's Earphones for Home, School & Travel - Whatif Monster",,4.2,6 ratings,$16.97 ,,0,,,0,0,0,lightweight,,,,,,,,,,,AppleiPhone,On-Ear&Over-Ear,iPad
138,Skullcandy Gold/ Black S2IKDY-107 3.5mm Connector Ink'd 2.0 Earbud Headphones with Mic,,3.9,11 ratings,$13.95 ,,0,,,mic,0,0,,,,,,,,,,In-Ear,N,SmartPhones,In-EarHeadphones,None
139,Bluetooth Headset Wireless Earbuds Bluetooth with Mic Voice Control TWS Stereo Bluetooth Earpiece for Driving/Business/Office,,4.5,4 ratings,$11.75 ,,wireless,,,mic,0,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
140,"Bluetooth 5.0 Neckband Headphones, Stereo Shocking Bass, Noise Reduction Wireless Bluetooth Headset with HD Mic Auto Retractable Earbuds 12 Hrs Playtime Sports Earphones for Gym Running Traving, Gift",,5.0,2 ratings,$25.97 ,,wireless,in ear,,mic,noise reduction,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
141,Bluetooth Headset 10Hrs Playtime Wireless Bluetooth V4.2 Earpiece for Cell Phone Noise Canceling Car Business Earbud Headphone with Mic and Mute Compatible with iPhone Samsung Android,,3.0,4 ratings,$14.99 ,,wireless,,,mic,noise reduction,0,,,,,,,,,,,,,,
142,Otium Bluetooth Headphones Best Wireless Sports Earphones w/ Mic IPX7 Waterproof HD Stereo Sweatproof In Ear Earbuds for Gym Running Workout 8 Hour Battery Noise Cancelling Headsets,,3.2,13 ratings,$14.99 ,,wireless,in ear,,mic,noise isolating,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
143,"Mpow Flame2 Wireless Sport Bluetooth Headphones,13H Playback Time Bluetooth V5.0 Wireless Earbuds,CVC6.0 Noise Cancelling Earbuds with Mic and Richer Bass HiFi Stereo for Running Jogging Cycling Black",,4.8,24 ratings,$27.99 ,,wireless,,,mic,noise cancellation,waterproof,,,,,,,,,,In-Ear,,CellPhones,In-EarHeadphones,Bluetooth
144,urBeats3 In-Ear Wired Earphones with 3.5 mm Plug - 2018 Model - Black,Walmart #  571777126,4.1,18 ratings,$59.00 ,,0,in ear,,mic,noise isolation,0,,,,,,,,,Portableelectronics,,N,,In-EarHeadphones,None
145,Bluetooth 4.2 Wireless Headset In-ear Stereo Ear Buds Headset Earphone with Charging Case,,2.3,22 ratings,$8.59 ,,wireless,,,0,noise reduction,0,,,,,,,,,,,,,,
146,Sony MDR-ZX310-BLACK Wired Headphones with Lightweight Adjustable Headband and Swivel Earcups,,3.7,41 ratings,$32.95 ,,0,,,0,0,0,lightweight,,,,,,,,Portableelectronics,,N,,On-Ear&Over-Ear,None
147,"LUXMO Trucker Bluetooth Headset, Wireless Headphones with Microphone, Noise Cancelling Headphones for Truck Driver, Wireless Over the Head Earpiece with Mic for Skype, Call Center",,4.5,4 ratings,$29.99 ,,wireless,,,mic,noise cancellation,0,lightweight,,,,,,,,,,,,WirelessHeadphones,Bluetooth
148,"Plantronics Backbeat FIT 2100 Wireless In-Ear Sweatproof Waterproof Sports Workout Headphones, Black (New Open Box)",,5.0,1 ratings,$44.99 ,,wireless,in ear,,0,0,waterproof,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
149,"Bluetooth Headset, Wireless Earpiece Bluetooth for iPhone and Android, In-Ear Bluetooth Earbuds Hands Free Earphones w/ Mic, Noise Cancelling for Driving/Business/Office, I6192",,4.1,51 ratings,$19.99 ,,wireless,in ear,,mic,noise cancellation,0,,,,,,,,,,,,,In-EarHeadphones,Bluetooth
150,S.Wear Z8 Bone Conduction Headphones Wireless 5.0 Earphone Outdoor Sports Headset Stereo CSR8635 Hands-free with Microphone,,3.3,10 ratings,$29.98 ,,0,,,mic,0,0,,,,,,,,,,,,,WirelessHeadphones,Bluetooth
151,"iphone Earphone Adapter, Lightning to 3.5mm Headphones/Earbuds Jack Dongle Adapter, Compatible with iPhone XS/XR/X/8/8 Plus/7/7 Plus/ipad/iPod, Support iOS 11/12, 2 Pack, I6005",,1.0,1 ratings,$10.99 ,,0,,,0,0,0,,,,,,,,,,,,,,
152,"2019 Newest AirPods Case,360°Protective Silicone AirPods Accessories Kit Compatiable with Apple AirPods 1st/2nd Charging Case[Not for Wireless Charging Case] Dark Blue",,4.4,5 ratings,$7.98 ,,0,,,mic,0,0,,,,,,,,,,,,,,
153,Airtime Pro Truly Wireless Stem Earbuds + Charging Case Earset,,5.0,2 ratings,$49.95 ,,wireless,in ear,,mic,0,water resist,,,,,,,,,,,TrueWireless,,,Bluetooth
154,Skullcandy Ink'd Bluetooth Wireless Earbuds in Gray & Chrome,Walmart #  571731400,3.8,25 ratings,$24.88 ,,wireless,,,mic,noise isolation,0,lightweight,,,,,,,,,In-Ear,Y,,In-EarHeadphones,Bluetooth
155,SOL REPUBLIC SHADOW - Headset - in-ear - wireless - Bluetooth - steel black,Walmart #  554751315,3.5,98 ratings,$22.04 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,Y,,Earbuds,Bluetooth
156,Painless Sport Ear-hook Headset Business TWS Earphone Noise Cancellation Earbuds with Mic,,5.0,3 ratings,$11.88 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,,,,,,
157,JBL Live 400BT Wireless On-Ear Headphones (Black),,4.2,111 ratings,$69.95 ,,wireless,on ear,,mic,0,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,Bluetooth
158,Koss® Koss Ktxpro1 Headphones,Walmart #  563300708,4.4,34 ratings,$20.70 ,,0,,,0,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
159,"Sleep Headphones Bluetooth Headband,Upgrage Soft Sleeping Wireless Music Sport Headbands, Long Time Play Sleeping Headsets with Built in Speakers Perfect for Workout, Running, Yoga",,1.0,1 ratings,$13.88 ,,wireless,,,mic,0,0,,,,,,,,,,,,,,
160,Skullcandy lime green-  Black S2IKDY-323  3.5mm Connector Ink'd 2.0 Earbud Headphones with Mic,,5.0,3 ratings,$14.26 ,,0,,,mic,0,0,,,,,,,,,,,,,In-EarHeadphones,None
161,"PowerHBQ PRO Wireless sport Earbuds, Bluetooth 5.0 Headphones, True Wireless running Earbuds Headphones with Deep Bass Stereo Sound",,5.0,1 ratings,$38.99 ,,wireless,,,0,0,0,,,,,,,,,,Sport,,CellPhones,In-EarHeadphones,Bluetooth
162,Audio-Technica ATH-M40x Professional Monitor Headphones,Walmart #  554873570,4.8,139 ratings,$99.00 ,,0,,,0,sound isolation,0,,,,,,,,,DJ,DJ,N,,On-Ear&Over-Ear,None
163,"Califone, CIICA2, Lightweight Stereo Heahphones Wired 3.5mm 6ft Foam Beige, 1, Beige",Walmart #  563477544,5.0,3 ratings,$7.95 ,,0,,,0,0,0,lightweight,,,,,,,,,,Wired,,On-Ear&Over-Ear,None
164,Wireless Bluetooth 5.0 NeckBand Headset Sport Stereo Retractable Headphone Earbuds Earphone with MIC Microphone(Rose Gold),,3.3,11 ratings,$20.97 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
165,"AMGRA Wireless Earbuds Bluetooth Headphones Mini Bluetooth Earbuds Super Bass Wireless Headset with LED Power Display Charging Case, Sport in-Ear Ear Buds with Charging Case A",,4.0,1 ratings,$14.72 ,,wireless,,,mic,0,0,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
166,Headphones Jack Charge and Audio Splitter Lightning to Audio Charging Adapter for Earphone,,1.0,1 ratings,$8.99 ,,0,,,0,0,0,,,,,,,,,,,,,,
167,Plugfones Guardian 26 dB Reusable Nylon/Silicone/Soft Foam Ear Plugs/Ear Phones 54 in. L Orange,,4.0,1 ratings,$33.06 ,,0,,,0,noise reduction,waterproof,,,,,,,,,,,N,,In-EarHeadphones,None
168,"Replacement Earpads for boses QuietComfort QC15 QC2 QC25, Headphones Ear Pads Cushion Headset Ear Cover and Headband Cover with Memory Form - Black",,3.8,5 ratings,$9.97 ,,0,,,0,0,0,,,,,,,,,,,,,,
169,Beyution Black Metal Wireless Bluetooth Headsets Over Ear Bluetooth Headphones with Mic for iPhone 8 X Samsung Smart Phones and all tablet Laptop with Bluetooth Funcstion,,5.0,2 ratings,$15.99 ,,wireless,,,mic,noise cancellation,0,,,,,,,,,,,Y,forandroidsamsungHuaweixiaomiiPhonesmartphone,WirelessHeadphones,Bluetooth
170,KOSS 184515 UR10i On-Ear Headphones with Microphone,,4.0,15 ratings,$13.67 ,,0,on ear,,mic,0,0,lightweight,,,,,,,,,,Wired,CellularPhone,On-Ear&Over-Ear,None
171,"Skullcandy Chops Flex - Earphones with mic - ear-bud - over-the-ear mount - wired - 3.5 mm jack - gray, red, swirl",,3.6,23 ratings,$19.99 ,,0,,,mic,0,water resist,,,,,,,,,Portableelectronics,,N,,In-EarHeadphones,None
172,Koss Ur40 Ur40 Open Over-ear Headphones,Walmart #  563904584,4.8,10 ratings,$31.43 ,,0,over ear,,0,0,0,lightweight,,,,,,,,,,N,,On-Ear&Over-Ear,None
173,"Bluetooth Headphones,Wireless Noise Cancelling Headphones with Microphone – Water and Sweat Resistant – HD Stereo – Hooked Earbuds with Neckband for Workout, Running, Gym, 8 Hours Play Time",,1.0,1 ratings,$18.99 ,,wireless,in ear,,mic,noise reduction,water proof,lightweight,,,,,,,,,In-Ear,,,,Bluetooth
174,Status Audio CB-1 Closed Back Studio Monitor Headphones,,3.7,3 ratings,$59.00 ,,0,over ear,,0,noise cancelling,0,,,,,,,,,DJ,,N,,On-Ear&Over-Ear,None
175,Refurbished Apple AirPods Generation 2 with Charging Case MV7N2AM/A,,5.0,1 ratings,$114.95 ,,wireless,,,0,0,0,,,,,,,,,,,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,,Wireless
176,"Stereo Gaming Headset for PS4, Xbox One,  PC, Mac, Laptop, EEEKit Wired Over Ear Headphones with Noise Canceling Mic, Surround Sound & Soft Memory Earmuffs",,4.2,5 ratings,$12.97 ,,0,,,mic,noise cancelling,0,lightweight,,,,,,,,,,N,,On-Ear&Over-Ear,None
177,Soft Silicone Bluetooth Wireless Earphone Case Shockproof Cover Protector Case Earbuds Case Headset Case For AirPods Charging BoX,,4.0,4 ratings,$6.99 ,,0,,,0,0,0,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
178,Outtop 10 pcs 55mm Foam Pads Ear Pad Sponge Earpads Headphone Cover For Headset,,4.8,4 ratings,$8.21 ,,0,,,0,0,0,,,,,,,,,,,,,,
179,"RockPapa Over Ear Stereo Headphones Earphones for Adults Kids Childs, Noise Isolating, Adjustable, Heavy Deep Bass for iPhone iPod iPad Macbook Surface MP3 DVD SmartPhones Laptop (Black/Red)",,4.3,7 ratings,$36.49 ,,0,,,0,noise cancelling,0,,,,,,,,,,,N,,Over-EarHeadphones,None
180,EEEKit S19 TWS 5.0 Bluetooth Earbuds Hanging Ear Bone Conduction Bluetooth Headset in-Ears HD Call with 2200 mAh Charging Case,,5.0,1 ratings,$20.97 ,,wireless,,,mic,noise reduction,0,,,,,,,,,,,,,,
181,"Bluetooth Headphones Active Noise Cancelling, Superior Deep Bass Over-Ear Wireless Headphones with Mic for PC/Cell Phone",,3.1,16 ratings,$23.85 ,,wireless,,,mic,0,0,,,,,,,,,,Over-Ear,Y,Computers,WirelessHeadphones,Bluetooth
182,iphone Lightning to 3.5 mm Headphone Jack Adapter,,2.5,14 ratings,$8.99 ,,0,,,0,0,0,,,,,,,,,,,N,SupportiPhone7,,
183,"True Wireless Earbuds, COWIN KY07A Bluetooth 5.0 Earbuds with Charging Case Pumping Bass, Stereo Calls, One Step Auto Pairing, Volume Control, Stereo Headphones for iPhone Android Sport Work Out",,4.6,42 ratings,$29.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
184,Sony MDRZX110 ZX Series Stereo Headphones (White) with 3.5mm Mini Plug to 1/4 inch Headphone Adapter & HeroFiber® Ultra Gentle Cleaning Cloth,,4.1,7 ratings,$19.86 ,,0,on ear,,mic,0,0,,,,,,,,,,,,Monitors,On-EarHeadphones,None
185,"Bluetooth Wireless Earbuds, Bietrun Bluetooth 5.0 Wireless Headphones with Built-in Mic and Charging Case, Hands-free Calling Sweatproof In-Ear Headset Earphone Earpiece for iPhone/Android Cell Phones",,4.2,18 ratings,$24.99 ,,wireless,in ear,,mic,noise cancellation,waterproof,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
186,Refurbished Beats by Dr. Dre Powerbeats Pro Moss Totally Wireless In Ear Headphones MV712LL/A,,4.0,1 ratings,$167.00 ,,wireless,in ear,,0,0,water resist,,,,,,,,,,In-Ear,,SmartPhones,In-EarHeadphones,Bluetooth
187,Pokemon Pk140Piexv8 Pikachu Youth Headphone Yellow,,4.0,1 ratings,$19.99 ,,0,,,0,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
188,Xiaomi Mi Air2 SE TWS True Wireless Earphones Bluetooth 5.0 Pop-up Headset Sports Business Mini Earbuds 20H Music Time SBC AAC Dual Mic Tap Control For iOS Android Phone TWSEJ04WM,,4.0,1 ratings,$33.98 ,,wireless,,,mic,noise cancellation,0,,,,,,,,,,,,SmartPhones,WirelessEarbuds,Bluetooth
189,AGPtek Replacement Ear Pads Cushion for Beats by Dr. Dre Studio 2.0 Wired Wireless Headphone,,4.5,10 ratings,$12.99 ,,wireless,,,0,0,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,
190,COWIN Max Series E7PRO ACE (Upgraded) Active Noise Cancelling Bluetooth Headphone with Microphone Hi-Fi Deep Bass,,4.7,3 ratings,$74.99 ,,wireless,in ear,,mic,noise reduction,0,,,,,,,,,,,Y,,On-Ear&Over-Ear,Bluetooth
191,"Avantree HT280 2.4G RF Wireless Headphones for TV Watching with Transmitter Charging Dock, Ideal for Seniors & Hearing Impaired, Features High Volume Settings, No Delay & Auto Pairing, 100ft Range",,4.1,15 ratings,$94.99 ,,wireless,,,0,0,0,,,,,,,,,,,Y,,WirelessHeadphones,2.4GHz
192,"Black Friday Bluetooth Earbuds Bluetooth Headphones Wireless Earbuds Wireless Headphones Bluetooth Headset Mini Earbuds 4.1 Stereo Earphone Sport Headsets for All Bluetooth Devices (Black, 1 PCS)",,3.4,16 ratings,$19.99 ,,wireless,in ear,,mic,noise cancellation,0,lightweight,,,,,,,,,In-Ear,Y,Appleiphone8,In-EarHeadphones,8plus
193,PELTOR WORKTUNES Digital AM FM MP3 Radio HEADPHONES Hearing PROTECTION Ear Muffs by The ROP Shop,,5.0,4 ratings,$59.99 ,,0,,,0,0,0,,,,,,,,,,,N,,Over-EarHeadphones,None
194,"Wireless Bluetooth 5.0 Ear Hook Bone Conduction Earphone with Mic, Noise Isolating HD Bass Headset Headphone for Smartphones Cell Phone Notebooks Tablet PCs",,2.8,5 ratings,$9.97 ,,wireless,on ear,,mic,noise reduction,0,lightweight,,,,,,,,,,,,,
195,My Little Pony Kid Safe Headphones,Walmart #  566224594,4.7,14 ratings,$12.16 ,,0,,,0,0,0,,,,,,,,,,,N,,On-Ear&Over-Ear,None
196,Replacement Inline Microphone Audio Cable Cord for Beats by Dr Dre Headphones,,4.0,1 ratings,$8.99 ,,0,,,mic,0,0,,,,,,,,,,,,,,
197,Double Charger Splitter lightning Adapter For iPhone 8 iPhone 8 Plus iPhone x  Apple iPhone X/8/7 Plus Audio Music Play 2in1 Dual Converter Earphone Headphone music Play Quick Charging USB cable,,5.0,1 ratings,$9.99 ,,0,,,mic,0,0,,,,,,,,,outdoor,,N,,,
198,"Mini Wireless Earbuds, 2020 Upgrade Bluetooth Earphone Smallest Wireless Invisible Headset Headphone with Mic Hands-free Calling for iPhone Samsung and Android Smart Phones",,2.9,105 ratings,$19.97 ,,wireless,in ear,,mic,noise cancellation,waterproof,,,,,,,,,,,Y,,In-EarHeadphones,Bluetooth
199,"Premium Over-Ear Headphone, Spadger CD990, Hi-Res Studio Certified, Professional DJ Stereo Monitor, Super Confortable, Extra Long Cable & Adapter Plug",,5.0,2 ratings,$54.99 ,,0,over ear,,0,0,0,,,,,,,,,,,,,On-Ear&Over-Ear,None
200,House of Marley EM-JE041-MI Smile Jamaica In-Ear Earbuds with Microphone (Midnight),Walmart #  552768929,4.6,233 ratings,$20.71 ,,0,in ear,,0,noise isolating,0,,,,,,,,,,,N,,In-EarHeadphones,None
201,5x Pack 3.5mm Headphones In-Ear Earbuds Afflux Universal Stereo Headset Earphones For Cellphone Tablet iPhone 6 6S 5S SE 6/6S Plus Earbuds iPod iPad Samsung Galaxy S9 S8 S7 S6 Note 5 Note 8 9 LG Stylo,,5.0,2 ratings,$16.99 ,,0,,,mic,noise cancellation,0,lightweight,,,,,,,,,In-Ear,N,Cellphone;Tablet;Computers;iPhone;iPad;iPod;CDPlayers;DVD;MP3Players;iPhone6;iPhone6s;iPhone6sPlus;iPodNano;SamsungGalaxyS8;SamsungGalaxyS9;SamsungGalaxyS6;SamsungGalaxyS7;SamsungGalaxyNote8;SamsungGalaxyNote9;Universal;,In-EarHeadphones,None
202,"Verbatim Listen / Talk Earphones, Red, Silver",Walmart #  555888644,1.0,1 ratings,$27.98 ,,0,,,mic,0,0,,,,,,,,,Portableelectronics,withMicrophone,Wired,Car,In-EarHeadphones,None
203,"Gaming Headset with Mic for Xbox One PS4 PC Nintendo Switch Tablet Smartphone, Headphones Stereo Over Ear Bass 3.5mm Microphone Noise Canceling 7 LED Light Soft Memory Earmuffs",,3.0,2 ratings,$32.99 ,,0,over ear,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
204,Kids Altec Lansing Bluetooth Headphones - Pink (MZX250),,4.9,19 ratings,$43.32 ,,wireless,,,0,0,0,lightweight,,,,,,,,,,Y,,WirelessHeadphones,Bluetooth
205,Sennheiser HD 4.50 BTNC Wireless - Headphones with mic - full size - Bluetooth - wireless - NFC - active noise canceling - black,,4.6,9 ratings,$267.00 ,,wireless,,,mic,noise cancellation,0,,,,,,,,,Portableelectronics,,Y,,WirelessHeadphones,Bluetooth
