,web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,model,sku,price,rating,rating_amount,key_specs,brand,general,audio,connectivity,features,design,power,warranty/dimension,other,about_text_clean,brand,connection,type,battery,microphone,noise,water,weight,impedance,frequency response,sensitivity,UPC,manufacturerID
251,1604775626-16099,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=14&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JAM - Tune In In-Ear Wireless Sport Headphones - Black,https://www.bestbuy.com/site/jam-tune-in-in-ear-wireless-sport-headphones-black/6359337.p?skuId=6359337,JAM - Tune In In-Ear Wireless Sport Headphones - Black,HX-EPC202BK,6359337,39,3.4,27,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Maximum Wireless Range 30 feetWater ResistantInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo12 hours,JAM,"Product Name Tune In In-Ear Wireless Sport Headphones Brand JAM Additional Accessories Included USB charging cable, 3 pairs of ear tips (small, medium, large) Ear Cushions Yes Model Number HX-EPC202BK Color Black Color Category Black",Sound Isolating No Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Maximum Wireless Range 30 feet,"Water ResistantInfoYes Built-In Microphone Yes Controls Call, Track selection, Volume Maximum Talk Time 12 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo12 hours Charging Accessory Included CableCharging Interface(s)InfoUSBOn/Off SwitchInfoYes,Product HeightInfo0.4 inchesProduct WidthInfo1.3 inchesProduct DepthInfo0.6 inches,Manufacturer's Warranty - Parts 2 years,product name tune in in ear wireless sport headphones brand jam additional accessories included usb charging cable  3 pairs of ear tips  small  medium  large  ear cushions yes model number hx epc202bk color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono maximum wireless range 30 feetwater resistantinfoyes built in microphone yes headphone fit in earbattery lifeinfo12 hours sound isolating no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono maximum wireless range 30 feet water resistantinfoyes built in microphone yes controls call  track selection  volume maximum talk time 12 hours headphone fit in ear rechargeable yesbattery lifeinfo12 hours charging accessory included cablecharging interface s infousbon off switchinfoyes,product,1,in,12,1.0,isolate,resist,,,,,,hx
252,1604778251-16277,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=6&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Indy Evo True Wireless In-Ear Headphones - True Black,https://www.bestbuy.com/site/skullcandy-indy-evo-true-wireless-in-ear-headphones-true-black/6412868.p?skuId=6412868,Skullcandy - Indy Evo True Wireless In-Ear Headphones - True Black,S2IVW-N740,6412868,79,4.0,181,"Noise Cancelling (Active) No Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Maximum Wireless Range 33 feetWater ResistantInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo6 hoursWorks WithInfoSiri, Google Assistant, Amazon Alexa",Skullcandy,Product Name Indy Evo True Wireless In-Ear Headphones Brand Skullcandy Additional Accessories Included Charging case Ear Cushions Yes Model Number S2IVW-N740 Color True Black Color Category Black,Noise Cancelling (Active) No Sound Isolating No Sound Mode Stereo,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfoOther Maximum Wireless Range 33 feet,"Water ResistantInfoYes Built-In Microphone Yes Controls Call, Track selection, Volume Maximum Talk Time 6 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo6 hoursOn/Off SwitchInfoYes,"Works WithInfoSiri, Google Assistant, Amazon Alexa",Manufacturer's Warranty - Parts 2 years,product name indy evo true wireless in ear headphones brand skullcandy additional accessories included charging case ear cushions yes model number s2ivw n740 color true black color category black noise cancelling  active  no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes maximum wireless range 33 feetwater resistantinfoyes built in microphone yes headphone fit in earbattery lifeinfo6 hoursworks withinfosiri  google assistant  amazon alexa noise cancelling  active  no sound isolating no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfoother maximum wireless range 33 feet water resistantinfoyes built in microphone yes controls call  track selection  volume maximum talk time 6 hours headphone fit in ear rechargeable yesbattery lifeinfo6 hourson off switchinfoyes,product,1,in,6,1.0,cancel,resist,,,,,,s2ivw
253,1604777313-16210,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=9&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Indy ANC True Wireless In-Ear Headphones - True Black - True Black,https://www.bestbuy.com/site/skullcandy-indy-anc-true-wireless-in-ear-headphones-true-black-true-black/6427091.p?skuId=6427091,Skullcandy - Indy ANC True Wireless In-Ear Headphones - True Black - True Black,S2IYW-N740,6427091,129,,,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Headphone Fit In-Ear,Skullcandy,Product Name Indy ANC True Wireless In-Ear Headphones - True Black Brand Skullcandy Model Number S2IYW-N740 Color True Black Color Category Black,Sound Isolating Yes,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes,Headphone Fit In-Ear,Manufacturer's Warranty - Parts 2,UPC 810015586969,,,product name indy anc true wireless in ear headphones   true black brand skullcandy model number s2iyw n740 color true black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes headphone fit in ear sound isolating yes connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes headphone fit in ear manufacturer s warranty   parts 2 upc 810015586969,product,0,in,,,isolate,,,,,,810015586969,s2iyw
254,1604771715-15862,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=24&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JBL - TUNE 120TWS True Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/jbl-tune-120tws-true-wireless-in-ear-headphones-black/6356676.p?skuId=6356676,JBL - TUNE 120TWS True Wireless In-Ear Headphones - Black,JBLT120TWSBLKAM,6356676,99,4.0,640,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo4 hoursBattery Charge TimeInfo2 hoursWorks WithInfoSiri, Google Assistant",JBL,"Product Name TUNE 120TWS True Wireless In-Ear Headphones Brand JBL Additional Accessories Included 3 pairs of ear tips (small, medium, large), charging case, charging cable Ear Cushions Yes Model Number JBLT120TWSBLKAM Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo14 ohms Sensitivity 95 decibels adjusted Sound Mode Stereo Driver Size 5.8 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo4.2,"Built-In Microphone Yes Controls Call, Track selection Maximum Talk Time 4 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo4 hoursBattery Charge TimeInfo2 hoursBattery CapacityInfo85 milliampere hours Charging Accessory Included CableOn/Off SwitchInfoYes,"Works WithInfoSiri, Google Assistant",Product WeightInfo0.16 pounds,product name tune 120tws true wireless in ear headphones brand jbl additional accessories included 3 pairs of ear tips  small  medium  large   charging case  charging cable ear cushions yes model number jblt120twsblkam color black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes built in microphone yes headphone fit in earbattery lifeinfo4 hoursbattery charge timeinfo2 hoursworks withinfosiri  google assistant sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo14 ohms sensitivity 95 decibels adjusted sound mode stereo driver size 5.8 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo4.2 built in microphone yes controls call  track selection maximum talk time 4 hours headphone fit in ear rechargeable yesbattery lifeinfo4 hoursbattery charge timeinfo2 hoursbattery capacityinfo85 milliampere hours charging accessory included cableon off switchinfoyes,product,0,in,,1.0,isolate,,,4 ohms,20 hertz,95 decibels adjusted,,jblt120twsblkam
255,1604779326-16350,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - MDR-Z7M2 Over-the-Ear Headphones - Black,https://www.bestbuy.com/site/sony-mdr-z7m2-over-the-ear-headphones-black/6305335.p?skuId=6305335,Sony - MDR-Z7M2 Over-the-Ear Headphones - Black,MDRZ7M2,6305335,599,4.5,20,Sound Mode Stereo Connection Type Wired Built-In Microphone No Carrying Case No Headphone Fit Over-the-Ear Adjustable Headband Yes,Sony,"Product Name MDR-Z7M2 Over-the-Ear Headphones Brand Sony Additional Accessories Included Headphone cable, balanced-connection headphone cable, Uni-match plug adaptor Model Number MDRZ7M2 Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo4 hertzMaximum Frequency ResponseInfo100 kilohertzImpedanceInfo56 ohms Sensitivity 98 decibels adjusted Integrated Amplifier No Sound Mode Stereo Driver Size 70 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Built-In Microphone No Carrying Case No Lighting Type NoneHigh Resolution AudioInfoYes,Headphone Fit Over-the-Ear,Sound Mode Stereo Connection Type Wired Built-In Microphone No Carrying Case No Headphone Fit Over-the-Ear Adjustable Headband Yes,Product WeightInfo0.75 pounds,Manufacturer's Warranty - Parts 1 Year,product name mdr z7m2 over the ear headphones brand sony additional accessories included headphone cable  balanced connection headphone cable  uni match plug adaptor model number mdrz7m2 color black color category black sound mode stereo connection type wired built in microphone no carrying case no headphone fit over the ear adjustable headband yes sound isolating nominimum frequency responseinfo4 hertzmaximum frequency responseinfo100 kilohertzimpedanceinfo56 ohms sensitivity 98 decibels adjusted integrated amplifier no sound mode stereo driver size 70 millimeters connection type wired connector size 1 8 in.  3.5mm  built in microphone no carrying case no lighting type nonehigh resolution audioinfoyes headphone fit over the ear sound mode stereo connection type wired built in microphone no carrying case no headphone fit over the ear adjustable headband yes,product,0,,,1.0,isolate,,,6 ohms,4 hertz,98 decibels adjusted,,mdrz7m2
256,1604771100-15824,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=26&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,TCL - SOCL series SOCL300BL Wired In-Ear Headphones - Ocean Blue,https://www.bestbuy.com/site/tcl-socl-series-socl300bl-wired-in-ear-headphones-ocean-blue/6392372.p?skuId=6392372,TCL - SOCL series SOCL300BL Wired In-Ear Headphones - Ocean Blue,SOCL300BLNA,6392372,14,,,Sound Mode Stereo Connection Type Wired Built-In Microphone Yes Headphone Fit In-Ear,TCL,"Product Name SOCL series SOCL300BL Wired In-Ear Headphones Brand TCL Additional Accessories Included 3 pairs of ear tips (small, medium, large) Ear Cushions Yes Model Number SOCL300BLNASeriesInfoSOCL series Color Ocean Blue Color Category Blue",Sound Isolating YesMinimum Frequency ResponseInfo10 hertzMaximum Frequency ResponseInfo23 kilohertzImpedanceInfo28 ohms Sensitivity 104 decibels adjusted Sound Mode Stereo Driver Size 9 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),"Built-In Microphone Yes Controls Call, Track selection",Headphone Fit In-Ear,Manufacturer's Warranty - Parts 1 year Manufacturer's Warranty - Labor 1 year,UPC 846042011150,,product name socl series socl300bl wired in ear headphones brand tcl additional accessories included 3 pairs of ear tips  small  medium  large  ear cushions yes model number socl300blnaseriesinfosocl series color ocean blue color category blue sound mode stereo connection type wired built in microphone yes headphone fit in ear sound isolating yesminimum frequency responseinfo10 hertzmaximum frequency responseinfo23 kilohertzimpedanceinfo28 ohms sensitivity 104 decibels adjusted sound mode stereo driver size 9 millimeters connection type wired connector size 1 8 in.  3.5mm  built in microphone yes controls call  track selection headphone fit in ear manufacturer s warranty   parts 1 year manufacturer s warranty   labor 1 year,product,0,in,,1.0,isolate,,,8 ohms,10 hertz,104 decibels adjusted,,socl300blnaseriesinfosocl
257,1604771381-15839,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=25&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sennheiser - MOMENTUM True Wireless Earbud Headphones - Silver/Black,https://www.bestbuy.com/site/sennheiser-momentum-true-wireless-earbud-headphones-silver-black/6311203.p?skuId=6311203,Sennheiser - MOMENTUM True Wireless Earbud Headphones - Silver/Black,MOMENTUM TRUE WIRELESS,6311203,299,4.1,482,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Headphone Fit In-EarBattery LifeInfo4 hoursBattery Charge TimeInfo1.5 hoursWorks WithInfoGoogle Assistant, Siri Ear Tip Sizes Included Extra small, Large, Medium, Small",Sennheiser,"Product Name MOMENTUM True Wireless Earbud Headphones Brand Sennheiser Additional Accessories Included Silicone ear adapter sets (in size (XS/S/M/L), charging case, USB-C charging cable (20 cm) Ear Cushions Yes Ear Tip Sizes Included Extra small, Large, Medium, Small Model Number MOMENTUM TRUE WIRELESSSeriesInfoMOMENTUM Color Silver/Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo5 hertzMaximum Frequency ResponseInfo21 kilohertz Sensitivity 107 decibels adjustedTotal Harmonic DistortionInfo0.08 percent Sound Mode Stereo Driver Size 7 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfo5.0,Water ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Maximum Talk Time 4 hours,Headphone Fit In-Ear,"Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesWater ResistantInfoYes Built-In Microphone Yes Carrying Case Yes Headphone Fit In-EarBattery LifeInfo4 hoursBattery Charge TimeInfo1.5 hoursWorks WithInfoGoogle Assistant, Siri Ear Tip Sizes Included Extra small, Large, Medium, Small","Works WithInfoGoogle Assistant, Siri",Manufacturer's Warranty - Parts 2 years,product name momentum true wireless earbud headphones brand sennheiser additional accessories included silicone ear adapter sets  in size  xs s m l   charging case  usb c charging cable  20 cm  ear cushions yes ear tip sizes included extra small  large  medium  small model number momentum true wirelessseriesinfomomentum color silver black color category black sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes carrying case yes headphone fit in earbattery lifeinfo4 hoursbattery charge timeinfo1.5 hoursworks withinfogoogle assistant  siri ear tip sizes included extra small  large  medium  small sound isolating nominimum frequency responseinfo5 hertzmaximum frequency responseinfo21 kilohertz sensitivity 107 decibels adjustedtotal harmonic distortioninfo0.08 percent sound mode stereo driver size 7 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfo5.0 water resistantinfoyes built in microphone yes carrying case yes maximum talk time 4 hours headphone fit in ear sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyeswater resistantinfoyes built in microphone yes carrying case yes headphone fit in earbattery lifeinfo4 hoursbattery charge timeinfo1.5 hoursworks withinfogoogle assistant  siri ear tip sizes included extra small  large  medium  small,product,1,in,,1.0,isolate,resist,,,5 hertz,107 decibels adjusted,,momentum
258,1604778157-16270,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=6&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Sony - WF-SP800N True Wireless Noise-Cancelling In-Ear Headphones - Black,https://www.bestbuy.com/site/sony-wf-sp800n-true-wireless-noise-cancelling-in-ear-headphones-black/6408358.p?skuId=6408358,Sony - WF-SP800N True Wireless Noise-Cancelling In-Ear Headphones - Black,WFSP800N/B,6408358,148,4.3,244,"Noise Cancelling (Active) Yes Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetooth, NFCTrue WirelessInfoYes Built-In Microphone Yes Carrying Case Yes Headphone Fit In-EarBattery LifeInfo9 hoursWorks WithInfoGoogle Assistant, Siri",Sony,Product Name WF-SP800N True Wireless Noise-Cancelling In-Ear Headphones Brand Sony Model Number WFSP800N/B Color Black Color Category Black,Noise Cancelling (Active) Yes Sound Isolating No Sound Mode Stereo,"Connection Type WirelessWireless ConnectivityInfoBluetooth, NFCTrue WirelessInfoYes","Built-In Microphone Yes Carrying Case Yes Controls Call, Track selection, Voice assistant, Volume",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo9 hours Charging Accessory Included Case Battery Life Provided by Charging Case 18 hours,"Works WithInfoGoogle Assistant, Siri",Product HeightInfo7.37 inches,product name wf sp800n true wireless noise cancelling in ear headphones brand sony model number wfsp800n b color black color category black noise cancelling  active  yes sound mode stereo connection type wirelesswireless connectivityinfobluetooth  nfctrue wirelessinfoyes built in microphone yes carrying case yes headphone fit in earbattery lifeinfo9 hoursworks withinfogoogle assistant  siri noise cancelling  active  yes sound isolating no sound mode stereo connection type wirelesswireless connectivityinfobluetooth  nfctrue wirelessinfoyes built in microphone yes carrying case yes controls call  track selection  voice assistant  volume headphone fit in ear rechargeable yesbattery lifeinfo9 hours charging accessory included case battery life provided by charging case 18 hours,product,0,in,9,1.0,cancel,,,,,,,wfsp800n
259,1604776013-16127,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=13&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Cassette Wireless On-Ear Headphones - Cobalt Blue,https://www.bestbuy.com/site/skullcandy-cassette-wireless-on-ear-headphones-cobalt-blue/6411958.p?skuId=6411958,Skullcandy - Cassette Wireless On-Ear Headphones - Cobalt Blue,S5CSW-M712,6411958,29,4.5,2,Noise Cancelling (Active) No Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit On-Ear Adjustable Headband YesBattery LifeInfo22 hours,Skullcandy,Product Name Cassette Wireless On-Ear Headphones Brand Skullcandy Model Number S5CSW-M712 Color Cobalt Blue Color Category Blue,Noise Cancelling (Active) No Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo30 ohmsTotal Harmonic DistortionInfo3 percent Sound Mode Stereo Driver Size 40 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfoOther,"Built-In Microphone Yes Controls Call, Track selection, Volume Maximum Talk Time 22 hours",Headphone Fit On-Ear,Rechargeable YesBattery LifeInfo22 hoursOn/Off SwitchInfoYes,Headband Material Metal,Product WeightInfo0.32 pounds,product name cassette wireless on ear headphones brand skullcandy model number s5csw m712 color cobalt blue color category blue noise cancelling  active  no sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit on ear adjustable headband yesbattery lifeinfo22 hours noise cancelling  active  no sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo30 ohmstotal harmonic distortioninfo3 percent sound mode stereo driver size 40 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfoother built in microphone yes controls call  track selection  volume maximum talk time 22 hours headphone fit on ear rechargeable yesbattery lifeinfo22 hourson off switchinfoyes,product,0,on,22,1.0,cancel,,,0 ohms,20 hertz,,,s5csw
260,1604773261-15948,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=20&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,"JBL - Quantum 200 Wired Stereo Gaming Headset for PC, PS4, Xbox One, Nintendo Switch and Mobile Devices - Black",https://www.bestbuy.com/site/jbl-quantum-200-wired-stereo-gaming-headset-for-pc-ps4-xbox-one-nintendo-switch-and-mobile-devices-black/6408562.p?skuId=6408562,"JBL - Quantum 200 Wired Stereo Gaming Headset for PC, PS4, Xbox One, Nintendo Switch and Mobile Devices - Black",JBLQUANTUM200BLKAM,6408562,59,3.9,7,"Sound Mode Stereo Connection Type Wired Built-In Microphone Yes Headphone Fit Over-the-Ear Adjustable Headband Yes Compatible Platform(s) Mac, Nintendo Switch, PlayStation 4, Windows, Xbox One",JBL,"Product Name Quantum 200 Wired Stereo Gaming Headset for PC, PS4, Xbox One, Nintendo Switch and Mobile Devices Brand JBL Additional Accessories Included PC splitter, windshield foam for boom microphone Model Number JBLQUANTUM200BLKAM Color Black Color Category Black",Sound Isolating YesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo32 ohms Sensitivity 100 decibels adjusted Sound Mode Stereo Driver Size 50 millimeters,Connection Type Wired Connector Size 1/8 in. (3.5mm),Built-In Microphone Yes Controls Volume,Headphone Fit Over-the-Ear,"Compatible Platform(s) Mac, Nintendo Switch, PlayStation 4, Windows, Xbox One",Product WeightInfo0.54 pounds,Manufacturer's Warranty - Parts 1 Year,product name quantum 200 wired stereo gaming headset for pc  ps4  xbox one  nintendo switch and mobile devices brand jbl additional accessories included pc splitter  windshield foam for boom microphone model number jblquantum200blkam color black color category black sound mode stereo connection type wired built in microphone yes headphone fit over the ear adjustable headband yes compatible platform s  mac  nintendo switch  playstation 4  windows  xbox one sound isolating yesminimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo32 ohms sensitivity 100 decibels adjusted sound mode stereo driver size 50 millimeters connection type wired connector size 1 8 in.  3.5mm  built in microphone yes controls volume headphone fit over the ear compatible platform s  mac  nintendo switch  playstation 4  windows  xbox one,product,0,,,1.0,isolate,,,2 ohms,20 hertz,100 decibels adjusted,,jblquantum200blkam
261,1604774300-16009,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=18&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,JBL - TUNE 110BT Wireless In-Ear Headphones - Black,https://www.bestbuy.com/site/jbl-tune-110bt-wireless-in-ear-headphones-black/6391287.p?skuId=6391287,JBL - TUNE 110BT Wireless In-Ear Headphones - Black,JBLT110BTBLKAM,6391287,39,4.0,6,"Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNo Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo6 hoursBattery Charge TimeInfo2 hours Ear Tip Sizes Included Large, Medium, Small",JBL,"Product Name TUNE 110BT Wireless In-Ear Headphones Brand JBL Additional Accessories Included Three pairs of ear tips (small, medium, large), micro-USB charging cable Ear Tip Sizes Included Large, Medium, Small Model Number JBLT110BTBLKAMSeriesInfoTUNE 110 Color Black Color Category Black",Sound Isolating NoMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo16 ohms Driver Size 8.6 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoNoBluetooth VersionInfo4.0,"Built-In Microphone Yes Controls Call, Mute, Track selection, Volume Maximum Talk Time 6 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo6 hoursBattery Charge TimeInfo2 hoursBattery CapacityInfo120 milliampere hours Charging Accessory Included CableCharging Interface(s)InfoMicro-USBOn/Off SwitchInfoYes,Product WeightInfo0.04 pounds,Manufacturer's Warranty - Parts 1 Year,product name tune 110bt wireless in ear headphones brand jbl additional accessories included three pairs of ear tips  small  medium  large   micro usb charging cable ear tip sizes included large  medium  small model number jblt110btblkamseriesinfotune 110 color black color category black connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfono built in microphone yes headphone fit in earbattery lifeinfo6 hoursbattery charge timeinfo2 hours ear tip sizes included large  medium  small sound isolating nominimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo16 ohms driver size 8.6 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfonobluetooth versioninfo4.0 built in microphone yes controls call  mute  track selection  volume maximum talk time 6 hours headphone fit in ear rechargeable yesbattery lifeinfo6 hoursbattery charge timeinfo2 hoursbattery capacityinfo120 milliampere hours charging accessory included cablecharging interface s infomicro usbon off switchinfoyes,product,0,in,6,1.0,isolate,,,6 ohms,20 hertz,,,jblt110btblkamseriesinfotune
262,1604771251-15833,https://www.bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=25&id=pcmcat144700050004bestbuy.com/site/headphones/all-headphones/pcmcat144700050004.c?cp=1&id=pcmcat144700050004,Skullcandy - Indy True Wireless In-Ear Headphones - Indigo Blue,https://www.bestbuy.com/site/skullcandy-indy-true-wireless-in-ear-headphones-indigo-blue/6378522.p?skuId=6378522,Skullcandy - Indy True Wireless In-Ear Headphones - Indigo Blue,S2SSW-M704,6378522,84,3.6,1,Sound Mode Stereo Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYes Maximum Wireless Range 33 feetWater ResistantInfoYes Built-In Microphone Yes Headphone Fit In-EarBattery LifeInfo4 hours,Skullcandy,"Product Name Indy True Wireless In-Ear Headphones Brand Skullcandy Additional Accessories Included Charging case, 3 pairs of EarGels, micro-USB charging cable, stability gels (large) Ear Cushions Yes Model Number S2SSW-M704 Color Indigo Blue Color Category Blue",Sound Isolating YesMinimum Frequency ResponseInfo20 hertzMaximum Frequency ResponseInfo20 kilohertzImpedanceInfo16 ohmsTotal Harmonic DistortionInfo3 percent Sound Mode Stereo Driver Size 6 millimeters,Connection Type WirelessWireless ConnectivityInfoBluetoothTrue WirelessInfoYesBluetooth VersionInfoOther Maximum Wireless Range 33 feet,"Water ResistantInfoYes Built-In Microphone Yes Controls Call, Track selection, Volume Maximum Talk Time 4 hours",Headphone Fit In-Ear,Rechargeable YesBattery LifeInfo4 hours Charging Accessory Included CableCharging Interface(s)InfoMicro USB,Manufacturer's Warranty - Parts 2 years Manufacturer's Warranty - Labor 2 years,UPC 878615098886,product name indy true wireless in ear headphones brand skullcandy additional accessories included charging case  3 pairs of eargels  micro usb charging cable  stability gels  large  ear cushions yes model number s2ssw m704 color indigo blue color category blue sound mode stereo connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyes maximum wireless range 33 feetwater resistantinfoyes built in microphone yes headphone fit in earbattery lifeinfo4 hours sound isolating yesminimum frequency responseinfo20 hertzmaximum frequency responseinfo20 kilohertzimpedanceinfo16 ohmstotal harmonic distortioninfo3 percent sound mode stereo driver size 6 millimeters connection type wirelesswireless connectivityinfobluetoothtrue wirelessinfoyesbluetooth versioninfoother maximum wireless range 33 feet water resistantinfoyes built in microphone yes controls call  track selection  volume maximum talk time 4 hours headphone fit in ear rechargeable yesbattery lifeinfo4 hours charging accessory included cablecharging interface s infomicro usb,product,1,in,,1.0,isolate,resist,,6 ohms,20 hertz,,,s2ssw
